Field_	Motor_	Timestamp_	Sample1_X_	Sample1_Y_	Sample2_X_	Sample2_Y_	Sample_T_
3.499981099E+1	0.000000000E+0	4.718119094E+0	9.567330708E-4	1.580809010E-3	1.523159910E-3	1.869423315E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	4.756455485E+0	9.567326051E-4	1.581245335E-3	1.522939303E-3	1.869203406E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	4.802621113E+0	9.565462824E-4	1.581778983E-3	1.522775507E-3	1.868952066E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	4.838404144E+0	9.562778287E-4	1.582168741E-3	1.522670384E-3	1.868666965E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	4.876809239E+0	9.558834718E-4	1.582571771E-3	1.522602979E-3	1.868376275E-3	1.755700000E+0
3.499982000E+1	0.000000000E+0	4.914701784E+0	9.554076241E-4	1.582949073E-3	1.522561535E-3	1.868065563E-3	1.755700000E+0
3.499980197E+1	0.000000000E+0	4.949832035E+0	9.548263042E-4	1.583325560E-3	1.522552804E-3	1.867712708E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	5.002262324E+0	9.539827006E-4	1.583767240E-3	1.522576087E-3	1.867195009E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	5.042600750E+0	9.533146513E-4	1.584045007E-3	1.522630453E-3	1.866835170E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	5.080667686E+0	9.526807116E-4	1.584243146E-3	1.522719278E-3	1.866492908E-3	1.755700000E+0
3.499982000E+1	0.000000000E+0	5.124961590E+0	9.521389729E-4	1.584340469E-3	1.522829989E-3	1.866273000E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	5.163044662E+0	9.516774444E-4	1.584326033E-3	1.523002749E-3	1.866115606E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	5.204000702E+0	9.513602126E-4	1.584184589E-3	1.523213345E-3	1.866036328E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	5.244617176E+0	9.511826211E-4	1.583889592E-3	1.523506129E-3	1.866025734E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	5.301729101E+0	9.512237739E-4	1.583191217E-3	1.524043619E-3	1.866111881E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	5.342306330E+0	9.514499106E-4	1.582527417E-3	1.524469932E-3	1.866196631E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	5.379737540E+0	9.517547442E-4	1.581857330E-3	1.524934196E-3	1.866287086E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	5.414356066E+0	9.522233740E-4	1.580960467E-3	1.525478088E-3	1.866362756E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	5.452245966E+0	9.527859511E-4	1.579962671E-3	1.526066917E-3	1.866417355E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	5.502894030E+0	9.537163423E-4	1.578365918E-3	1.526990556E-3	1.866403501E-3	1.755700000E+0
3.499977493E+1	0.000000000E+0	5.545489533E+0	9.546966175E-4	1.576665440E-3	1.527729561E-3	1.866292441E-3	1.755700000E+0
3.499978394E+1	0.000000000E+0	5.602197395E+0	9.556157747E-4	1.574988943E-3	1.528454944E-3	1.866085920E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	5.640817792E+0	9.563197964E-4	1.573606744E-3	1.529174973E-3	1.865805592E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	5.702309188E+0	9.574167780E-4	1.571125234E-3	1.529939705E-3	1.865422120E-3	1.755700000E+0
3.499976591E+1	0.000000000E+0	5.747287603E+0	9.578402387E-4	1.569953514E-3	1.530394540E-3	1.865153084E-3	1.755700000E+0
3.499975690E+1	0.000000000E+0	5.801568341E+0	9.583164356E-4	1.568237203E-3	1.530976268E-3	1.864738529E-3	1.755700000E+0
